WantCollege_W1,ExpectCollege_W1,DaysMarijuanaPast12M_W4,Sex_Female,Trouble Paying Attention,ReligiosityIndex_W1,Age_FirstMarijuana,PeerCig_Count,PeerWeed_Count,peer_alcohol_count,Fight_Serious,InjuredSomeone,DroveWithoutPermission,WeaponUse_Threat,SoldDrugs,GroupFight,PublicRowdy,LiedToParents,Age_FirstDrinkNoAdults_rev_Z,DrinkFrequency_Past12mo_Z,DrinksPerOccasion_Past12mo_Z,Age_StartedSmoking_rev_Z,BluesInspiteOfHelp,LessThanOthers,Unhappy,Lonely,UnfriendlyPeople,HardToStart,NotWorthLiving,FriendsRespect_Sex,Rev_FeelGuilty_Sex,Rev_UpsetMother_Sex,SexAttitudes_Index,GPA_Index,ParentalWarmth_Index,ParentalSupervision_Index,BuildingType,BuildingCondition,NeighborhoodType,StreetCondition,BoredImpatient,SuicidalIdeation,SuicideAttempts,SchoolBehavior_Index,SES_Index,NightAway_W1,Moodiness_W1,HangoutFriends_W1,HoursTV_W1,HoursGames_W1,PhysicalFight_W1,Jumped_W1
5.0,5.0,0.0,1,1.0,-0.0316845046201642,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5238626153348919,0.7285126396245167,-0.0555593584892304,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,0.2098072038023006,3.75,3.5,0.1428571428571428,1.0,1.0,2.0,1.0,1.0,0.0,,-0.1125771758692487,1.053604509750533,1.0,1.0,2.0,1.0,0.0,0.0,0.0
4.0,3.0,0.0,1,3.0,0.2707657074775663,15.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,-0.6431696056225867,-0.6263417077795361,-0.4890348483444643,-0.9408086556749125,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,-0.3226331620055726,2.0,4.5,0.0,1.0,2.0,3.0,2.0,1.0,0.0,,-0.3853285737292341,-1.2598780447319098,0.0,4.0,1.0,2.0,2.0,1.0,0.0
4.0,4.0,6.0,1,1.0,0.8979534969538453,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,,0.0510854659224902,,,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,-0.7921186466959849,1.6666666666666667,3.75,0.2857142857142857,1.0,1.0,1.0,,0.0,0.0,,-0.1013290051351102,-0.180057140365395,0.0,2.0,3.0,10.0,0.0,0.0,0.0
5.0,4.0,6.0,0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,-0.219578555430587,2.0,5.0,0.2857142857142857,1.0,2.0,2.0,2.0,0.0,0.0,,0.545915197913356,-0.0738908381019814,0.0,1.0,2.0,3.0,1.0,2.0,0.0
1.0,1.0,6.0,0,1.0,-1.286060083572722,12.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.1348518750157323,0.0510854659224902,1.9673262608351945,-0.9408086556749125,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,3.0,0.8581055058689501,2.0,3.75,0.8571428571428571,1.0,2.0,1.0,,0.0,0.0,,0.2268609000859291,-0.0017866018088603,0.0,1.0,1.0,20.0,10.0,1.0,0.0
1.0,1.0,6.0,0,3.0,,14.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,3.0,-0.2541588653034272,1.4059398133265433,3.5567363903043856,0.3071439300954472,1.0,3.0,2.0,0.0,0.0,3.0,0.0,4.0,4.0,5.0,0.8068784793644724,2.5,3.75,0.1428571428571428,2.0,2.0,1.0,,0.0,1.0,1.0,1.9288371712740484,0.1575735387883281,1.0,4.0,0.0,25.0,3.0,2.0,1.0
5.0,5.0,1.0,0,2.0,0.2707657074775663,15.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0321803459417462,-0.6263417077795361,-0.633526678296209,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,3.0,0.1416512149059287,1.0,5.0,0.2857142857142857,1.0,2.0,3.0,1.0,0.0,0.0,,0.2219555906275556,0.5520601827601844,0.0,2.0,2.0,10.0,0.0,2.0,2.0
5.0,5.0,5.0,0,2.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,3.5,4.75,0.4285714285714285,1.0,2.0,3.0,1.0,0.0,0.0,,-0.0320417959858329,0.5674995885308063,0.0,1.0,0.0,56.0,0.0,1.0,0.0
5.0,5.0,4.0,0,3.0,0.4331344961668405,0.0,3.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,,,,-0.1088402651613392,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,5.0,1.0,0.4318641220608109,3.25,4.5,0.1428571428571428,1.0,2.0,3.0,1.0,0.0,1.0,0.0,0.5278162951822033,0.168717223014915,0.0,3.0,3.0,12.0,4.0,2.0,0.0
5.0,5.0,6.0,0,4.0,,16.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,2.0,-0.6431696056225867,-0.6263417077795361,2.11181809078694,-1.3567928509316989,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,4.0,4.0,1.1269638057922586,3.25,4.5,0.0,1.0,1.0,3.0,1.0,0.0,0.0,,0.5333568101483299,-0.2354482545897848,0.0,3.0,1.0,20.0,0.0,2.0,0.0
